REF_DATE,GEO,Total
2010,Atlantic Region,61585
2011,Atlantic Region,65056
2012,Atlantic Region,67353
2013,Atlantic Region,68730
2014,Atlantic Region,71280
2015,Atlantic Region,71219
2016,Atlantic Region,72954
2017,Atlantic Region,73555
2019,Atlantic Region,79459
2010,Prairie Region,81447
2011,Prairie Region,81867
2012,Prairie Region,88374
2013,Prairie Region,91923
2014,Prairie Region,93419
2015,Prairie Region,100046
2016,Prairie Region,98260
2017,Prairie Region,96232
2019,Prairie Region,105185
2010,Newfoundland and Labrador,62430
2011,Newfoundland and Labrador,66377
2012,Newfoundland and Labrador,70193
2013,Newfoundland and Labrador,75489
2014,Newfoundland and Labrador,77339
2015,Newfoundland and Labrador,78154
2016,Newfoundland and Labrador,79831
2017,Newfoundland and Labrador,79430
2019,Newfoundland and Labrador,81444
2010,Prince Edward Island,59534
2011,Prince Edward Island,61328
2012,Prince Edward Island,67346
2013,Prince Edward Island,63348
2014,Prince Edward Island,68358
2015,Prince Edward Island,68441
2016,Prince Edward Island,68278
2017,Prince Edward Island,71100
2019,Prince Edward Island,75249
2010,Nova Scotia,61939
2011,Nova Scotia,67037
2012,Nova Scotia,68111
2013,Nova Scotia,68795
2014,Nova Scotia,70501
2015,Nova Scotia,70940
2016,Nova Scotia,73879
2017,Nova Scotia,73072
2019,Nova Scotia,81229
2010,New Brunswick,60942
2011,New Brunswick,62342
2012,New Brunswick,64453
2013,New Brunswick,65023
2014,New Brunswick,68650
2015,New Brunswick,67326
2016,New Brunswick,67933
2017,New Brunswick,70581
2019,New Brunswick,76753
2010,Quebec,62257
2011,Quebec,64625
2012,Quebec,64681
2013,Quebec,68397
2014,Quebec,69209
2015,Quebec,68431
2016,Quebec,70853
2017,Quebec,73942
2019,Quebec,79639
2010,Ontario,75556
2011,Ontario,77125
2012,Ontario,78846
2013,Ontario,82479
2014,Ontario,84406
2015,Ontario,85379
2016,Ontario,88953
2017,Ontario,90447
2019,Ontario,97385
2010,Manitoba,67908
2011,Manitoba,68200
2012,Manitoba,71492
2013,Manitoba,73657
2014,Manitoba,76434
2015,Manitoba,77043
2016,Manitoba,79633
2017,Manitoba,85240
2019,Manitoba,90617
2010,Saskatchewan,70444
2011,Saskatchewan,71310
2012,Saskatchewan,75277
2013,Saskatchewan,79370
2014,Saskatchewan,85456
2015,Saskatchewan,89938
2016,Saskatchewan,89354
2017,Saskatchewan,88852
2019,Saskatchewan,95951
2010,Alberta,89077
2011,Alberta,89287
2012,Alberta,97387
2013,Alberta,101195
2014,Alberta,100956
2015,Alberta,110024
2016,Alberta,106514
2017,Alberta,101721
2019,Alberta,112317
2010,British Columbia,74841
2011,British Columbia,75196
2012,British Columbia,75856
2013,British Columbia,78851
2014,British Columbia,80776
2015,British Columbia,85712
2016,British Columbia,85845
2017,British Columbia,92804
2019,British Columbia,102091
